well,pHrodo_conc_ug,DA_Tx,replicate
B2,5,veh,Rep1
C2,5,veh,Rep2
D2,5,veh,Rep3
B3,5,DA06,Rep1
C3,5,DA06,Rep2
D3,5,DA06,Rep3
B4,5,DA07,Rep1
C4,5,DA07,Rep2
D4,5,DA07,Rep3
B5,5,DA08,Rep1
C5,5,DA08,Rep2
D5,5,DA08,Rep3
B6,5,DA09,Rep1
C6,5,DA09,Rep2
D6,5,DA09,Rep3
B7,5,DA10,Rep1
C7,5,DA10,Rep2
D7,5,DA10,Rep3
B8,5,DA11,Rep1
C8,5,DA11,Rep2
D8,5,DA11,Rep3
B9,5,DA12,Rep1
C9,5,DA12,Rep2
D9,5,DA12,Rep3
B10,5,DA13,Rep1
C10,5,DA13,Rep2
D10,5,DA13,Rep3
B11,5,DA14,Rep1
C11,5,DA14,Rep2
D11,5,DA14,Rep3
E2,7.5,veh,Rep1
F2,7.5,veh,Rep2
G2,7.5,veh,Rep3
E3,7.5,DA06,Rep1
F3,7.5,DA06,Rep2
G3,7.5,DA06,Rep3
E4,7.5,DA07,Rep1
F4,7.5,DA07,Rep2
G4,7.5,DA07,Rep3
E5,7.5,DA08,Rep1
F5,7.5,DA08,Rep2
G5,7.5,DA08,Rep3
E6,7.5,DA09,Rep1
F6,7.5,DA09,Rep2
G6,7.5,DA09,Rep3
E7,7.5,DA10,Rep1
F7,7.5,DA10,Rep2
G7,7.5,DA10,Rep3
E8,7.5,DA11,Rep1
F8,7.5,DA11,Rep2
G8,7.5,DA11,Rep3
E9,7.5,DA12,Rep1
F9,7.5,DA12,Rep2
G9,7.5,DA12,Rep3
E10,7.5,DA13,Rep1
F10,7.5,DA13,Rep2
G10,7.5,DA13,Rep3
E11,7.5,DA14,Rep1
F11,7.5,DA14,Rep2
G11,7.5,DA14,Rep3
