Well,Field,Cell_Number,Top,Left,XCentroid,YCentroid,ObjectAreaCh1,ObjectTotalIntenCh1,ObjectAvgIntenCh1,ObjectVarIntenCh1,SpotCountCh2,SpotTotalAreaCh2,SpotAvgAreaCh2,SpotTotalIntenCh2,SpotAvgIntenCh2,TotalIntenCh2,AvgIntenCh2
B2,1,1,127,634,703.4182282,197.3827658,14889,40514018,2721.070455,1428.30395,5,122,24.4,113038,926.5409836,1151084,77.31103499
B2,1,2,203,53,119.2116564,272.7505794,14670,36697977,2501.566258,1270.956156,0,0,0,0,0,531102,36.20327198
B2,1,3,477,595,664.088627,538.7747716,14341,38322709,2672.24803,1543.100214,16,382,23.875,823276,2155.172775,3011914,210.021198
B2,1,4,488,302,389.1078571,581.589321,25302,59364634,2346.242748,939.2564162,21,324,15.42857143,259496,800.9135802,1265323,50.00881353
B2,1,5,713,717,808.1963059,790.6564647,22414,57729816,2575.61417,1724.895666,0,0,0,0,0,590502,26.34523066
B2,1,6,880,242,325.772637,937.750016,15605,47836534,3065.461967,1942.29258,5,59,11.8,31369,531.6779661,641015,41.07753925
B2,1,7,902,632,725.6604277,1002.117323,28477,65713762,2307.608315,1070.736492,0,0,0,0,0,517921,18.18734417
B2,2,1,124,724,809.5091991,202.2263274,20002,41783786,2088.980402,898.9689346,1,6,6,1879,313.1666667,481535,24.07434257
B2,2,2,148,490,576.4059469,230.4659142,22062,48528017,2199.620025,1132.123963,0,0,0,0,0,608886,27.59885776
B2,2,3,312,191,306.2655335,413.1572973,33122,66648689,2012.218133,1362.16118,0,0,0,0,0,624819,18.86416883
B2,2,4,473,787,876.8797976,544.4920465,20557,45308120,2204.023933,906.5790777,1,24,24,17162,715.0833333,615583,29.94517683
B2,2,5,573,568,645.8909421,697.7341157,30250,62371190,2061.857521,916.857023,0,0,0,0,0,671027,22.18271074
B2,2,6,690,163,233.459441,767.8527329,16100,40384539,2508.35646,1028.270711,6,111,18.5,97079,874.5855856,1131283,70.26602484
B2,2,7,956,622,693.5065806,1020.08644,11777,27542979,2338.709264,1027.949043,5,281,56.2,584435,2079.839858,1920904,163.1063938
B2,3,1,33,358,422.1072836,101.3199533,13702,35790847,2612.089257,1269.353082,0,0,0,0,0,374545,27.33506058
B2,3,2,35,809,844.2571214,67.73438281,4002,10762380,2689.250375,2094.993206,0,0,0,0,0,160902,40.2053973
B2,3,3,461,294,369.170523,534.4566757,16942,45167094,2665.983591,1854.360009,0,0,0,0,0,535254,31.59331838
B2,3,4,494,720,800.0833668,567.7043488,17453,41408239,2372.557096,1141.926492,6,204,34,310504,1522.078431,1243861,71.26918008
B2,4,1,14,431,511.4065373,84.83684683,17836,40925857,2294.564757,1254.516522,0,0,0,0,0,418180,23.44583987
B2,4,2,71,796,871.2731586,144.7855118,17283,38929162,2252.453972,1030.066906,0,0,0,0,0,426747,24.69172019
B2,4,3,163,276,346.7618716,234.8545222,17226,32051768,1860.662255,671.4865848,0,0,0,0,0,336540,19.53674678
B2,4,4,199,561,674.0301446,301.9328431,32908,65690945,1996.19986,1074.021653,11,163,14.81818182,269692,1654.552147,3227291,98.07010453
B2,4,5,274,24,87.46329588,339.2799251,13350,39641619,2969.409663,1798.418168,0,0,0,0,0,454855,34.07153558
B2,4,6,457,57,137.8882997,543.9227672,20367,41815401,2053.095743,974.3958847,0,0,0,0,0,361290,17.73898954
B2,4,7,480,450,579.2497652,538.4879621,23426,53827396,2297.762998,1018.587279,25,570,22.8,1262238,2214.452632,4786152,204.3093998
B2,4,8,631,728,824.4137483,707.581103,21559,38945968,1806.483047,790.9287228,0,0,0,0,0,437982,20.31550629
B2,4,9,637,245,295.0808002,686.6069513,8948,19208363,2146.665512,1103.070325,0,0,0,0,0,227570,25.43249888
B2,4,10,669,281,357.6456039,741.118744,10350,23061018,2228.117681,1096.898038,0,0,0,0,0,194993,18.83990338
B2,4,11,791,8,103.0051962,903.5596608,31369,68144915,2172.364914,906.2329513,2,49,24.5,24192,493.7142857,487976,15.55599477
B2,4,12,965,612,678.9849154,1026.91574,13126,41482758,3160.350297,1971.193635,0,0,0,0,0,344737,26.26367515
B2,5,1,208,503,548.7124741,366.8659203,18847,39188569,2079.300101,935.6375366,3,56,18.66666667,51100,912.5,658767,34.95341434
B2,5,2,262,904,970.8675323,342.153672,16789,34616910,2061.880398,984.8950962,34,1133,33.32352941,3241701,2861.165931,8405504,500.6554292
B2,5,3,588,711,779.059368,665.36682,16962,36743613,2166.231164,1042.794143,0,0,0,0,0,447153,26.36204457
B2,5,4,661,477,553.8635303,733.5253427,17579,42441644,2414.337789,1182.213601,2,37,18.5,16360,442.1621622,494338,28.12093976
B2,5,5,857,807,879.7293756,947.4255885,19540,44656667,2285.397492,1130.387371,0,0,0,0,0,477772,24.45097236
B2,6,1,145,160,228.5433384,196.6951506,9795,29545473,3016.383155,1867.448799,4,113,28.25,356473,3154.628319,1235905,126.1771312
B2,6,2,214,13,128.2921055,311.4102899,21458,29303160,1365.605369,441.3034111,0,0,0,0,0,192630,8.977071488
B2,6,3,327,350,412.1324883,481.8781733,28795,59502156,2066.405834,1000.336892,6,80,13.33333333,52613,657.6625,686809,23.85167564
B2,6,4,334,699,777.2540243,410.3558479,18699,42687287,2282.864699,1729.266519,2,109,54.5,116805,1071.605505,860651,46.02657896
B2,6,5,439,115,199.2305913,526.1796503,22477,45189891,2010.494772,867.3051401,19,361,19,262358,726.7534626,1052382,46.82039418
B2,6,6,584,961,1024.21893,663.2012356,16672,35219098,2112.46989,810.2438266,2,27,13.5,12268,454.3703704,405092,24.29774472
B2,6,7,633,646,767.7200372,714.2209838,27993,55057463,1966.829672,1442.590572,0,0,0,0,0,690314,24.66023649
B2,6,8,738,446,520.8971441,839.1039059,23810,53501817,2247.031373,1038.516997,14,309,22.07142857,328425,1062.864078,1539760,64.66862663
B2,6,9,804,757,829.5540849,854.5130078,8764,14998636,1711.391602,658.9436331,0,0,0,0,0,96557,11.01745778
B2,6,10,833,680,752.2757432,902.9577076,13052,31737521,2431.621284,1580.395377,1,9,9,3561,395.6666667,367018,28.11967515
B2,6,11,901,841,916.5234514,966.5820339,16353,24190665,1479.279949,495.2240769,0,0,0,0,0,104875,6.413196355
B2,7,1,58,266,324.6740769,116.0264695,10616,26065124,2455.267898,1316.663262,0,0,0,0,0,394264,37.13865863
B2,7,2,140,805,906.1008294,244.0831789,32917,50285267,1527.638211,754.3501489,0,0,0,0,0,442143,13.43205638
B2,7,3,172,530,620.5947259,248.0810548,21615,50117202,2318.630673,1015.425616,20,515,25.75,1148493,2230.083495,3526382,163.1451307
B2,7,4,313,380,463.323844,392.3938517,19355,44365617,2292.204443,1112.571285,9,173,19.22222222,165537,956.8612717,880114,45.47217773
B2,7,5,425,150,245.3343547,548.1340215,33614,61645439,1833.921551,757.8347906,39,1212,31.07692308,1943536,1603.577558,4930049,146.6665378
B2,7,6,778,833,924.1343813,857.2579215,20293,47145585,2323.243729,1303.538398,2,28,14,9662,345.0714286,417207,20.55915833
B2,7,7,897,95,189.0669321,983.1534934,24861,60525359,2434.550461,1327.633223,0,0,0,0,0,498071,20.03423032
B2,7,8,907,952,1013.940412,967.4464989,10925,31580480,2890.661785,1737.7023,9,324,36,929732,2869.54321,1976991,180.9602746
B2,8,1,27,323,403.2863427,143.1853629,25005,48352095,1933.697061,757.6597245,0,0,0,0,0,372108,14.88134373
B2,8,2,315,456,520.6400056,385.4697097,14328,46530038,3247.490089,1818.402926,0,0,0,0,0,514363,35.89914852
B2,8,3,663,614,708.5369175,732.7326534,18433,48984472,2657.433516,1377.972666,2,20,10,7651,382.55,650447,35.2870938
B2,8,4,706,491,545.8072869,792.4060134,14135,33257414,2352.841457,1133.657233,17,502,29.52941176,991064,1974.231076,3542368,250.6096923
B2,8,5,724,287,351.9291378,789.6530511,14126,40833563,2890.667068,1752.338014,11,264,24,412162,1561.219697,1633946,115.6694039
B2,9,1,29,410,495.7494763,80.0845554,17184,30628211,1782.367959,815.8883632,0,0,0,0,0,190676,11.09613594
B2,9,2,84,853,929.5916459,174.0218753,21714,44190620,2035.12112,842.8746357,8,195,24.375,400565,2054.179487,1609462,74.1209358
B2,9,3,109,69,141.5720412,186.047227,17490,51023052,2917.269983,1562.067276,0,0,0,0,0,492478,28.15769011
B2,9,4,208,732,807.2325722,285.8887913,18218,46522094,2553.633439,1215.543197,0,0,0,0,0,453248,24.87913053
