well,pHrodo_conc_ug,DA_Tx,media,replicate
B2,2.5,veh,DMEM,Rep1
C2,2.5,veh,DMEM,Rep2
D2,2.5,veh,DMEM,Rep3
B3,2.5,DA6,DMEM,Rep1
C3,2.5,DA6,DMEM,Rep2
D3,2.5,DA6,DMEM,Rep3
B4,2.5,DA7,DMEM,Rep1
C4,2.5,DA7,DMEM,Rep2
D4,2.5,DA7,DMEM,Rep3
B5,2.5,DA8,DMEM,Rep1
C5,2.5,DA8,DMEM,Rep2
D5,2.5,DA8,DMEM,Rep3
B6,2.5,DA9,DMEM,Rep1
C6,2.5,DA9,DMEM,Rep2
D6,2.5,DA9,DMEM,Rep3
B7,2.5,DA10,DMEM,Rep1
C7,2.5,DA10,DMEM,Rep2
D7,2.5,DA10,DMEM,Rep3
B8,2.5,DA11,DMEM,Rep1
C8,2.5,DA11,DMEM,Rep2
D8,2.5,DA11,DMEM,Rep3
B9,2.5,DA12,DMEM,Rep1
C9,2.5,DA12,DMEM,Rep2
D9,2.5,DA12,DMEM,Rep3
B10,2.5,DA13,DMEM,Rep1
C10,2.5,DA13,DMEM,Rep2
D10,2.5,DA13,DMEM,Rep3
B11,2.5,DA14,DMEM,Rep1
C11,2.5,DA14,DMEM,Rep2
D11,2.5,DA14,DMEM,Rep3
E2,2.5,veh,RPMI,Rep1
F2,2.5,veh,RPMI,Rep2
G2,2.5,veh,RPMI,Rep3
E3,2.5,DA6,RPMI,Rep1
F3,2.5,DA6,RPMI,Rep2
G3,2.5,DA6,RPMI,Rep3
E4,2.5,DA7,RPMI,Rep1
F4,2.5,DA7,RPMI,Rep2
G4,2.5,DA7,RPMI,Rep3
E5,2.5,DA8,RPMI,Rep1
F5,2.5,DA8,RPMI,Rep2
G5,2.5,DA8,RPMI,Rep3
E6,2.5,DA9,RPMI,Rep1
F6,2.5,DA9,RPMI,Rep2
G6,2.5,DA9,RPMI,Rep3
E7,2.5,DA10,RPMI,Rep1
F7,2.5,DA10,RPMI,Rep2
G7,2.5,DA10,RPMI,Rep3
E8,2.5,DA11,RPMI,Rep1
F8,2.5,DA11,RPMI,Rep2
G8,2.5,DA11,RPMI,Rep3
E9,2.5,DA12,RPMI,Rep1
F9,2.5,DA12,RPMI,Rep2
G9,2.5,DA12,RPMI,Rep3
E10,2.5,DA13,RPMI,Rep1
F10,2.5,DA13,RPMI,Rep2
G10,2.5,DA13,RPMI,Rep3
E11,2.5,DA14,RPMI,Rep1
F11,2.5,DA14,RPMI,Rep2
G11,2.5,DA14,RPMI,Rep3
